Date,Effective_Running_Time,General_Running_Time,Waste_Packages,Good_Packages,Nominal_Speed,Actual_Speed,Ancillary_Time,Internal_Downtime,External_Downtime,Base_Working_Time,MME,Q,P,A,OEE
4/2/2022,8.9,9.1,191,905,1014,1014,1.2,0.5,0.1,10.7,1.02,0.825729927,1,0.831775701,0.69
4/3/2022,9,9.5,153,885,1051,829,1.3,0.3,0.3,10.9,1.06,0.852601156,0.788772598,0.825688073,0.56
4/4/2022,8.1,8.1,60,826,1072,929,1.3,0.4,0.3,10.1,1,0.93227991,0.866604478,0.801980198,0.65
4/5/2022,9.1,9.3,95,977,1094,809,1.3,0.2,0.3,10.9,1.02,0.911380597,0.739488117,0.834862385,0.56
4/6/2022,8,8.8,156,890,1009,944,0.7,0.5,0.3,9.5,1.1,0.850860421,0.935579782,0.842105263,0.67
4/7/2022,8.1,9.3,60,839,1028,999,0.6,0.1,0.1,8.9,1.15,0.933259177,0.971789883,0.91011236,0.83
4/8/2022,7.7,8.5,137,874,1055,836,1.2,0.3,0.2,9.4,1.1,0.864490603,0.792417062,0.819148936,0.56
4/9/2022,6.1,11.6,102,883,1194,887,0.9,0.4,0.2,7.6,1.9,0.896446701,0.742881072,0.802631579,0.53
4/10/2022,6.4,10.4,143,966,1066,919,0.9,0.4,0.2,7.9,1.62,0.871055005,0.862101313,0.810126582,0.61
4/11/2022,6.1,10.7,57,947,1096,1076,0.5,0.1,0.2,6.9,1.75,0.943227092,0.981751825,0.884057971,0.82
4/12/2022,8.5,11.2,181,954,1039,1039,0.8,0.5,0.2,10,1.32,0.840528634,1,0.85,0.71
4/13/2022,7.3,10,196,802,1122,813,0.5,0.2,0.2,8.2,1.37,0.803607214,0.72459893,0.890243902,0.52
4/14/2022,8,8.3,195,883,1056,1028,1.4,0.3,0.2,9.9,1.04,0.819109462,0.973484848,0.808080808,0.64
4/15/2022,9.6,10.1,162,896,1041,912,0.7,0.2,0.1,10.6,1.05,0.846880907,0.876080692,0.905660377,0.67
4/16/2022,7,10.3,70,804,1103,918,1.1,0.2,0.2,8.5,1.47,0.919908467,0.832275612,0.823529412,0.63
4/17/2022,7.6,11,164,852,1001,1001,0.5,0.3,0.2,8.6,1.45,0.838582677,1,0.88372093,0.74
4/18/2022,9,9.7,54,952,1002,1002,1.2,0.3,0.2,10.7,1.08,0.946322068,1,0.841121495,0.8
4/19/2022,6.9,8.5,53,827,1044,1044,0.8,0.2,0.1,8,1.23,0.939772727,1,0.8625,0.81
4/20/2022,6.3,9.1,99,907,1007,973,1.4,0.2,0.2,8.1,1.44,0.901590457,0.966236346,0.777777778,0.68
4/21/2022,7.2,9.5,123,843,1022,907,1.4,0.3,0.1,9,1.32,0.872670807,0.887475538,0.8,0.62
4/22/2022,6.6,10.6,166,802,1068,1036,0.8,0.4,0.2,8,1.61,0.828512397,0.970037453,0.825,0.66
4/23/2022,9.7,10.3,152,848,1161,875,1.4,0.5,0.3,11.9,1.06,0.848,0.753660637,0.81512605,0.52
4/24/2022,9.2,9.4,117,995,1114,969,1.5,0.1,0.2,11,1.02,0.894784173,0.86983842,0.836363636,0.65
4/25/2022,8.5,11.9,91,960,1103,908,1.3,0.3,0.2,10.3,1.4,0.913415794,0.823209429,0.825242718,0.62
4/26/2022,9.5,10.4,200,992,1059,997,1.3,0.1,0.2,11.1,1.09,0.832214765,0.941454202,0.855855856,0.67
4/27/2022,8.9,8.9,114,898,1186,872,0.7,0.1,0.2,9.9,1,0.887351779,0.735244519,0.898989899,0.59
4/28/2022,6.7,8.4,118,822,1079,857,1.1,0.4,0.3,8.5,1.25,0.874468085,0.794253939,0.788235294,0.55
4/29/2022,8.6,8.6,75,910,1017,1017,0.6,0.3,0.2,9.7,1,0.923857868,1,0.886597938,0.82
4/30/2022,8.2,9,169,891,1123,831,0.6,0.2,0.2,9.2,1.1,0.840566038,0.739982191,0.891304348,0.55
5/1/2022,8.6,8.6,154,969,1023,952,1.5,0.2,0.2,10.5,1,0.86286732,0.930596285,0.819047619,0.66
5/2/2022,8.7,8.7,83,820,1069,866,0.8,0.1,0.1,9.7,1,0.908084164,0.8101029,0.896907216,0.66
5/3/2022,7.3,9.1,62,898,1101,812,1.2,0.4,0.2,9.1,1.25,0.935416667,0.737511353,0.802197802,0.55
5/4/2022,6.4,8.7,152,830,1175,811,1.3,0.5,0.2,8.4,1.36,0.845213849,0.690212766,0.761904762,0.44
5/5/2022,6.9,11.6,148,865,1099,853,1.4,0.2,0.2,8.7,1.68,0.853899309,0.776160146,0.793103448,0.53
5/6/2022,7.7,8.3,91,947,1140,1060,1.5,0.2,0.2,9.6,1.08,0.912331407,0.929824561,0.802083333,0.68
5/7/2022,9.3,10.1,193,895,1199,885,0.7,0.4,0.2,10.6,1.09,0.822610294,0.738115096,0.877358491,0.53
5/8/2022,9.4,9.6,73,875,1026,1026,0.5,0.5,0.1,10.5,1.02,0.922995781,1,0.895238095,0.83
5/9/2022,6,11.9,115,879,1055,974,0.9,0.3,0.2,7.4,1.98,0.884305835,0.923222749,0.810810811,0.66
5/10/2022,8,8.4,192,892,1079,931,0.6,0.1,0.2,8.9,1.05,0.822878229,0.862835959,0.898876404,0.64
5/11/2022,7.7,9.6,113,957,1084,974,0.5,0.1,0.2,8.5,1.25,0.894392523,0.898523985,0.905882353,0.73
5/12/2022,6.9,11.9,146,978,1082,955,0.9,0.3,0.1,8.2,1.72,0.870106762,0.882624769,0.841463415,0.65
5/13/2022,6.5,11.5,110,991,1182,1028,1.3,0.3,0.2,8.3,1.77,0.900090827,0.869712352,0.78313253,0.61
5/14/2022,7.4,11.3,91,957,1143,885,1.1,0.1,0.3,8.9,1.53,0.913167939,0.774278215,0.831460674,0.59
5/15/2022,9,9,198,863,1122,906,0.8,0.3,0.1,10.2,1,0.8133836,0.807486631,0.882352941,0.58
5/16/2022,7.3,8.7,111,938,1062,1062,1.2,0.1,0.2,8.8,1.19,0.894184938,1,0.829545455,0.74
5/17/2022,8.1,10.7,184,888,1165,1084,0.7,0.4,0.1,9.3,1.32,0.828358209,0.930472103,0.870967742,0.67
5/18/2022,8.8,11.7,84,851,1191,1068,0.5,0.2,0.2,9.7,1.33,0.910160428,0.896725441,0.907216495,0.74
5/19/2022,7.5,10.2,82,968,1164,926,1.3,0.1,0.2,9.1,1.36,0.921904762,0.795532646,0.824175824,0.6
5/20/2022,9.9,10.3,55,808,1000,1000,1.1,0.3,0.2,11.5,1.04,0.93626883,1,0.860869565,0.81
5/21/2022,9.1,9.1,148,980,1127,943,1.3,0.3,0.2,10.9,1,0.868794326,0.836734694,0.834862385,0.61
5/22/2022,7,11.1,105,892,1010,949,0.5,0.5,0.3,8.3,1.59,0.894684052,0.93960396,0.843373494,0.71
5/23/2022,8,8.7,180,927,1052,861,1.3,0.3,0.1,9.7,1.09,0.837398374,0.818441065,0.824742268,0.57
5/24/2022,7.2,9.3,121,932,1012,977,1.1,0.2,0.1,8.6,1.29,0.885090218,0.96541502,0.837209302,0.72
5/25/2022,7.1,9.7,195,979,1121,856,1.1,0.4,0.3,8.9,1.37,0.833901193,0.763603925,0.797752809,0.51
5/26/2022,6.1,10,78,927,1137,899,1.1,0.2,0.2,7.6,1.64,0.92238806,0.790677221,0.802631579,0.59
5/27/2022,8.4,9,180,923,1023,1023,1.4,0.5,0.3,10.6,1.07,0.836808704,1,0.79245283,0.66
5/28/2022,8,8.5,166,813,1077,862,1.1,0.2,0.2,9.5,1.06,0.830439224,0.800371402,0.842105263,0.56
5/29/2022,6.2,10.4,166,904,1091,821,1.1,0.3,0.3,7.9,1.68,0.844859813,0.752520623,0.784810127,0.5
5/30/2022,7.1,9.2,177,830,1074,821,1.5,0.1,0.2,8.9,1.3,0.824230387,0.76443203,0.797752809,0.5
5/31/2022,9.6,10.3,164,947,1024,1024,1.3,0.3,0.2,11.4,1.07,0.852385239,1,0.842105263,0.72
6/1/2022,7,8.6,144,902,1084,952,0.9,0.4,0.3,8.6,1.23,0.862332696,0.878228782,0.813953488,0.62
6/2/2022,6.6,9.9,70,936,1150,923,1.2,0.4,0.2,8.4,1.5,0.930417495,0.802608696,0.785714286,0.59
6/3/2022,8,10.1,55,808,1014,1014,0.9,0.2,0.1,9.2,1.26,0.93626883,1,0.869565217,0.81
6/4/2022,8.2,8.2,188,817,1016,1016,0.7,0.2,0.2,9.3,1,0.812935323,1,0.88172043,0.72
6/5/2022,7,9.3,142,943,1071,900,1.1,0.4,0.1,8.6,1.33,0.869124424,0.840336134,0.813953488,0.59
6/6/2022,8.5,8.5,169,814,1188,1008,1.4,0.5,0.1,10.5,1,0.828077314,0.848484848,0.80952381,0.57
6/7/2022,8.3,8.3,122,814,1134,1031,1.4,0.1,0.2,10,1,0.86965812,0.909171076,0.83,0.66
6/8/2022,7,12,68,802,1136,996,0.8,0.3,0.2,8.3,1.71,0.92183908,0.876760563,0.843373494,0.68
6/9/2022,8.9,9.3,69,991,1072,845,1,0.2,0.2,10.3,1.04,0.93490566,0.788246269,0.86407767,0.64
6/10/2022,7.5,11.2,153,948,1119,1063,0.7,0.4,0.2,8.8,1.49,0.861035422,0.949955317,0.852272727,0.7
6/11/2022,8.5,9,115,871,1002,962,1.5,0.1,0.2,10.3,1.06,0.88336714,0.96007984,0.825242718,0.7
6/12/2022,8.5,10.7,80,859,1127,885,1.5,0.2,0.1,10.3,1.26,0.914802982,0.78527063,0.825242718,0.59
6/13/2022,8.1,11,124,870,1183,928,1.1,0.4,0.1,9.7,1.36,0.875251509,0.784446323,0.835051546,0.57
6/14/2022,6.4,10.4,60,955,1123,811,1.3,0.1,0.1,7.9,1.62,0.9408867,0.722172752,0.810126582,0.55
6/15/2022,9.3,9.9,137,932,1175,838,1.2,0.3,0.2,11,1.06,0.871842844,0.713191489,0.845454545,0.53
6/16/2022,7.3,9.6,90,837,1145,1030,1.1,0.3,0.1,8.8,1.32,0.902912621,0.899563319,0.829545455,0.67
6/17/2022,6.7,9.4,170,835,1024,800,0.6,0.2,0.2,7.7,1.4,0.830845771,0.78125,0.87012987,0.56
6/18/2022,6.2,11.7,97,820,1180,925,1,0.3,0.2,7.7,1.89,0.894220284,0.783898305,0.805194805,0.56
6/19/2022,8.4,11.3,118,932,1013,957,1.2,0.3,0.3,10.2,1.35,0.887619048,0.944718657,0.823529412,0.69
6/20/2022,8.7,11.9,52,953,1107,816,1.2,0.2,0.1,10.2,1.37,0.948258706,0.737127371,0.852941176,0.6
6/21/2022,6.1,8.5,61,853,1028,1028,0.9,0.3,0.2,7.5,1.39,0.933260394,1,0.813333333,0.76
6/22/2022,8,10.9,109,804,1002,868,1.4,0.4,0.2,10,1.36,0.880613363,0.866267465,0.8,0.61
6/23/2022,6.9,11.8,122,816,1084,891,0.7,0.4,0.3,8.3,1.71,0.869936034,0.82195572,0.831325301,0.59
6/24/2022,8.6,8.7,140,994,1059,891,1,0.2,0.3,10.1,1.01,0.87654321,0.841359773,0.851485149,0.63
6/25/2022,6.7,8.3,94,859,1097,869,1.2,0.2,0.1,8.2,1.24,0.901364113,0.792160438,0.817073171,0.58
6/26/2022,8.8,11,154,954,1115,800,1.2,0.2,0.1,10.3,1.25,0.86101083,0.717488789,0.854368932,0.53
6/27/2022,7.5,10.3,179,925,1009,1009,1.1,0.2,0.3,9.1,1.37,0.837862319,1,0.824175824,0.69
6/28/2022,9.7,11.4,167,876,1025,1025,0.8,0.3,0.2,11,1.18,0.839884947,1,0.881818182,0.74
6/29/2022,6.6,8.6,56,841,1112,867,0.7,0.4,0.2,7.9,1.3,0.937569677,0.779676259,0.835443038,0.61
6/30/2022,7.4,11.2,122,824,1069,999,1.1,0.1,0.2,8.8,1.51,0.871035941,0.934518241,0.840909091,0.68
7/1/2022,6.5,8.8,66,923,1146,1023,1.1,0.1,0.2,7.9,1.35,0.933265925,0.892670157,0.82278481,0.69
7/2/2022,8.7,8.7,86,955,1130,1055,0.7,0.3,0.3,10,1,0.917387128,0.933628319,0.87,0.75
7/3/2022,8.7,8.7,198,929,1169,927,1.2,0.4,0.3,10.6,1,0.824312334,0.792985458,0.820754717,0.54
7/4/2022,7,11.3,71,906,1138,891,1,0.2,0.2,8.4,1.61,0.927328557,0.782952548,0.833333333,0.61
7/5/2022,8.6,10.7,125,808,1086,898,1.2,0.4,0.2,10.4,1.24,0.86602358,0.826887661,0.826923077,0.59
7/6/2022,9.3,10.1,143,994,1135,1014,1.3,0.2,0.3,11.1,1.09,0.874230431,0.89339207,0.837837838,0.65
7/7/2022,8.2,9.4,155,960,1055,1045,0.7,0.5,0.1,9.5,1.15,0.860986547,0.990521327,0.863157895,0.74
7/8/2022,8.1,11.5,134,859,1061,854,0.5,0.5,0.1,9.2,1.42,0.865055388,0.804901037,0.880434783,0.61
7/9/2022,7,9.6,51,996,1158,911,1.3,0.2,0.3,8.8,1.37,0.951289398,0.786701209,0.795454545,0.6
7/10/2022,6.4,11.3,99,920,1089,1071,1.1,0.2,0.2,7.9,1.77,0.902845927,0.983471074,0.810126582,0.72
7/11/2022,9.6,9.8,128,916,1160,1042,1.2,0.3,0.1,11.2,1.02,0.877394636,0.898275862,0.857142857,0.68
7/12/2022,9.5,9.5,63,950,1164,1095,1.3,0.2,0.1,11.1,1,0.93780849,0.940721649,0.855855856,0.76
7/13/2022,8.5,9.9,103,962,1172,1026,1.3,0.4,0.3,10.5,1.16,0.903286385,0.875426621,0.80952381,0.64
7/14/2022,7.4,9.2,55,931,1183,918,1.5,0.4,0.2,9.5,1.24,0.944219067,0.775993238,0.778947368,0.57
7/15/2022,7.4,11,62,826,1086,977,1,0.4,0.2,9,1.49,0.93018018,0.899631676,0.822222222,0.69
7/16/2022,8.9,10,110,868,1064,998,1,0.4,0.1,10.4,1.12,0.887525562,0.937969925,0.855769231,0.71
7/17/2022,8.9,8.9,70,986,1116,824,0.9,0.3,0.3,10.4,1,0.933712121,0.738351254,0.855769231,0.59
7/18/2022,9.5,11.6,135,845,1074,963,0.7,0.2,0.3,10.7,1.22,0.862244898,0.896648045,0.887850467,0.69
7/19/2022,9.1,9.5,153,874,1120,1013,1.1,0.4,0.2,10.8,1.04,0.851022395,0.904464286,0.842592593,0.65
7/20/2022,8.6,10.2,170,886,1141,850,0.8,0.2,0.2,9.8,1.19,0.839015152,0.744960561,0.87755102,0.55
7/21/2022,6.3,11.6,80,888,1138,1034,1.4,0.4,0.1,8.2,1.84,0.917355372,0.908611599,0.768292683,0.64
7/22/2022,6.6,10.5,75,923,1075,975,1.1,0.2,0.3,8.2,1.59,0.924849699,0.906976744,0.804878049,0.68
7/23/2022,8.5,8.5,66,989,1033,1033,1.1,0.1,0.2,9.9,1,0.937440758,1,0.858585859,0.8
7/24/2022,8.4,11.8,145,848,1086,813,0.9,0.5,0.3,10.1,1.4,0.853977845,0.748618785,0.831683168,0.53
7/25/2022,6,10.5,156,824,1029,880,0.6,0.2,0.2,7,1.75,0.840816327,0.855199223,0.857142857,0.62
7/26/2022,6.4,9.3,55,839,1178,980,0.5,0.5,0.3,7.7,1.45,0.938478747,0.831918506,0.831168831,0.65
7/27/2022,8.6,8.6,190,977,1069,889,0.9,0.5,0.3,10.3,1,0.837189374,0.831618335,0.834951456,0.58
7/28/2022,6,11.2,58,929,1031,1014,0.6,0.4,0.2,7.2,1.87,0.941236069,0.983511154,0.833333333,0.77
7/29/2022,6.6,10.5,131,857,1005,1005,1.1,0.4,0.3,8.4,1.59,0.867408907,1,0.785714286,0.68
7/30/2022,8.2,10.1,156,963,1129,831,1.4,0.3,0.2,10.1,1.23,0.860589812,0.736049601,0.811881188,0.51
7/31/2022,8.8,11.6,181,972,1127,954,1.4,0.4,0.1,10.7,1.32,0.843018213,0.84649512,0.822429907,0.59
8/1/2022,8.6,11.2,157,969,1068,953,1.2,0.2,0.2,10.2,1.3,0.860568384,0.892322097,0.843137255,0.65
